job_title,company_Name,job_url,job_Location,job_Summery,job_posted_Date,job_Salary
Front End Web Developer Specialist,Deloitte,https://www.indeed.com/cmp/Deloitte,"Grand Rapids, MI 49503 (Heartside area)+1 location","Deloitte's full-service Marketing Excellence (ME) organization is seeking collaborative creatives, skillful strategists, and marketing masterminds to lead our…",Posted30+ days ago,
Senior Quality Assurance Automation Engineer,Spectrum Health,https://www.indeed.com/cmp/Spectrum-Health-1,"Grand Rapids, MI","This role will partner with a highly collaborative development team to ensure text messages (SMS), emails, and digitized voice messages sent to patients and…",Posted30+ days ago,
,MKB Holdings,"https://www.indeed.com/q-Mkb-Holdings-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49504 (Westside Connection area)",Must have a proven track record designing and developing enterprise scalable systems (multi-tenant web-based) using C# - .,Posted7 days ago,
Programmer Analyst III- GR Mainframe,SpartanNash,https://www.indeed.com/cmp/Spartannash,"Byron Center, MI 49315",Role will be responsible to lead and/or participate in the research and fact finding to modify or develop moderately complex company applications/information…,Posted30+ days ago,
,"Stefanini, Inc",https://www.indeed.com/cmp/Stefanini-IT-Solution,"Remote in Grand Rapids, MI","Designs, codes or configures, tests, debugs, deploys, documents and maintains large and/or complex programs, using a variety of software development toolkits,…",Posted3 days ago,
Avionics Software Engineer,Belcan LLC,https://www.indeed.com/cmp/Belcan-LLC,"Grand Rapids, MI 49512",This is a full-time direct position with benefits.,EmployerActive 9 days ago,
Software Engineer,L3Harris Technologies,https://www.indeed.com/cmp/L3harris,"Grand Rapids, MI",As a Software Engineer you will develop software for a diverse customer base across commercial and military aerospace segment.,Posted30+ days ago,
POS Associate Software Engineer,Gordon Food Service,https://www.indeed.com/cmp/Gordon-Food-Service,"Wyoming, MI 49509","As an Associate POS Software Engineer on the Gordon Food Service Store Team, you will be responsible for developing, testing, enhancing, and supporting a suite…",Posted24 days ago,
Sr. Software Developer,Amway Inc.,https://www.indeed.com/cmp/Amway,"Ada, MI 49355","In this role, we would leverage your technical skills to develop and maintain our product discovery and merchandising applications.",Posted30+ days ago,Estimated $112K – $142K a year
Senior Programmer,Macatawa Bank,https://www.indeed.com/cmp/Macatawa-Bank,"Holland, MI 49424",The Senior Programmer is dedicated to providing technical solutions to complex business problems using the Microsoft .,Posted30+ days ago,Estimated $92K – $117K a year
Application Development Analyst,A-Technologies,"https://www.indeed.com/jobs?q=A-technologies&l=Grand+Rapids,+MI","Grand Rapids, MI","Designs, codes or configures, tests, debugs, deploys, documents and maintains large and/or complex programs, using a variety of software development toolkits,…",Posted30+ days ago,Estimated $90.2K – $114K a year
Associate Software Developer,Brooksource,https://www.indeed.com/cmp/Brooksource,"Grand Rapids, MI",*We cannot provide sponsorship at this time*.,Posted30+ days ago,
,PRICE WATERHOUSE COOPERS,https://www.indeed.com/cmp/Pwc,"Grand Rapids, MI 49503 (Heartside area)+2 locations",Our team helps organisations align their business and operational requirements through the careful design of digital platforms and applications.,PostedJust posted,Estimated $121K – $154K a year
Software Engineer,"Byrne Electrical Specialists, Inc",https://www.indeed.com/cmp/Byrne-Electrical-Specialists,"Rockford, MI 49341",Job Summary: This role helps drive Byrne’s digital customer presence through collaboration across the organization (or across our departments) in partnership…,Posted30+ days ago,Estimated $77.4K – $98K a year
Software Cloud Engineer,KION Group AG,"https://www.indeed.com/q-Kion-Group-Ag-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI","Dematic is seeking Software Engineers with the ability to design and implement large-scale software solutions, focusing on microservice architectures and…",Posted30+ days ago,Estimated $99.2K – $126K a year
